,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,price
0,grnvXClj73ufsaG8VDKXWQ,château-le-jardin-woodbridge,Château Le Jardin,https://s3-media1.fl.yelpcdn.com/bphoto/QKjfh-nK4i1c-6vgj5cmEA/o.jpg,False,https://www.yelp.com/biz/ch%C3%A2teau-le-jardin-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,22,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],+19058512200,+1 905-851-2200,1302.7819918989237,43.7895515,-79.62667876,8440 Highway 27,,,Woodbridge,L4L 1A5,CA,ON,"['8440 Highway 27', 'Woodbridge, ON L4L 1A5', 'Canada']",
1,41xuKlIuZTLu6qTbpqTY-A,the-jewel-event-centre-woodbridge,The Jewel Event Centre,https://s3-media1.fl.yelpcdn.com/bphoto/MniS0PTatG77htkzieiJPw/o.jpg,False,https://www.yelp.com/biz/the-jewel-event-centre-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,4,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}]",5.0,[],+19052650919,+1 905-265-0919,1618.425207464314,43.77049,-79.60881,55 Sovereign Court,,,Woodbridge,L4L 8M1,CA,ON,"['55 Sovereign Court', 'Woodbridge, ON L4L 8M1', 'Canada']",
2,45TBoctzPi31IIBkf-gghA,the-arlington-estate-vaughan,The Arlington Estate,https://s3-media3.fl.yelpcdn.com/bphoto/ENxS_0UJKO9zUioj2vixcw/o.jpg,False,https://www.yelp.com/biz/the-arlington-estate-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,1,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",5.0,[],+16474298934,+1 647-429-8934,3683.5492565784407,43.79658,-79.65455,8934 Huntington Road,,,Vaughan,L4H 4X1,CA,ON,"['8934 Huntington Road', 'Vaughan, ON L4H 4X1', 'Canada']",
3,A4ncQUfFS2CEiaj9cMvsgg,digital-x-entertainment-woodbridge,Digital X Entertainment,https://s3-media3.fl.yelpcdn.com/bphoto/uXCOlxjTGyOKZLRtlX_Opw/o.jpg,False,https://www.yelp.com/biz/digital-x-entertainment-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,3,"[{'alias': 'djs', 'title': 'DJs'}, {'alias': 'photoboothrentals', 'title': 'Photo Booth Rentals'}]",3.5,[],+19056059368,+1 905-605-9368,1684.2801086576185,43.7760604,-79.6282516,111 Zenway Boulevard,Unit 26,,Woodbridge,L4H 3H9,CA,ON,"['111 Zenway Boulevard', 'Unit 26', 'Woodbridge, ON L4H 3H9', 'Canada']",
4,GX7QcRoh93_fq1D_nt2WhQ,universal-event-space-vaughan-2,Universal Event Space,https://s3-media1.fl.yelpcdn.com/bphoto/KfquK9-YazXWKvxHcVR8wA/o.jpg,False,https://www.yelp.com/biz/universal-event-space-vaughan-2?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,7,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],+19053268100,+1 905-326-8100,1559.0629782005326,43.775107,-79.625539,6250 Highway 7 W,,,Vaughan,L4H 4G3,CA,ON,"['6250 Highway 7 W', 'Vaughan, ON L4H 4G3', 'Canada']",
5,NrhWoZ1c_GqC-UjPKzSTUQ,da-vinci-banquet-halls-woodbridge,Da Vinci Banquet Halls,https://s3-media3.fl.yelpcdn.com/bphoto/CN9Vr4nIw7Ae28AFgPrW9g/o.jpg,False,https://www.yelp.com/biz/da-vinci-banquet-halls-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,3,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",1.0,[],+19058513131,+1 905-851-3131,829.8579452840975,43.7775922,-79.6132743,5732 Highway 7,Unit 33,,Woodbridge,L4L 3A2,CA,ON,"['5732 Highway 7', 'Unit 33', 'Woodbridge, ON L4L 3A2', 'Canada']",
6,41gRLv6cCcllPGDLyrqpVA,embassy-grand-convention-centre-brampton,Embassy Grand Convention Centre,https://s3-media2.fl.yelpcdn.com/bphoto/kq_4blziQ34QtyKw4ebCLQ/o.jpg,False,https://www.yelp.com/biz/embassy-grand-convention-centre-brampton?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,5,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}]",3.5,[],+19057949588,+1 905-794-9588,4228.211903212155,43.76782,-79.65898,8800 The Gore Road,,,Brampton,L6P 0B1,CA,ON,"['8800 The Gore Road', 'Brampton, ON L6P 0B1', 'Canada']",
7,Q9yjRZFfILATrDc9ukxzZQ,al-fogolar-vaughan,Al Fogolar,https://s3-media2.fl.yelpcdn.com/bphoto/L73QBkqVEmz1eU7gEAGRRg/o.jpg,False,https://www.yelp.com/biz/al-fogolar-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,3,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,[],+19058511166,+1 905-851-1166,3590.089461381404,43.76614,-79.5751,7065 Islington Avenue,,,Vaughan,L4L 1V9,CA,ON,"['7065 Islington Avenue', 'Vaughan, ON L4L 1V9', 'Canada']",$$$
8,rcUZWPGBV-QB-jCaZSiHWQ,terrace-banquet-centre-vaughan,Terrace Banquet Centre,https://s3-media2.fl.yelpcdn.com/bphoto/D7sdzYUW47s-eqewi-QTjA/o.jpg,False,https://www.yelp.com/biz/terrace-banquet-centre-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,11,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],+19058329550,+1 905-832-9550,8769.426004282932,43.8309743259219,-79.5229739052147,1680 Creditstone Rd,,,Vaughan,L4K 5V6,CA,ON,"['1680 Creditstone Rd', 'Vaughan, ON L4K 5V6', 'Canada']",
9,5frOJEtIhJNqOCd5inLUzw,hampton-inn-by-hilton-brampton-toronto-brampton,Hampton Inn by Hilton Brampton Toronto,https://s3-media4.fl.yelpcdn.com/bphoto/3ZkmojVUKgoLIb_-Z4hQMw/o.jpg,False,https://www.yelp.com/biz/hampton-inn-by-hilton-brampton-toronto-brampton?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,13,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.0,[],+19054884888,+1 905-488-4888,4405.443985463609,43.7659259,-79.6598533,8710 The Gore Road,,,Brampton,L6P 0B1,CA,ON,"['8710 The Gore Road', 'Brampton, ON L6P 0B1', 'Canada']",$$
10,BcNCXaGLZb-IOjLNrVctUg,copper-creek-golf-club-kleinburg-2,Copper Creek Golf Club,https://s3-media4.fl.yelpcdn.com/bphoto/aJVMKmWtCvqLxh9OsVPeJQ/o.jpg,False,https://www.yelp.com/biz/copper-creek-golf-club-kleinburg-2?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,10,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'golf', 'title': 'Golf'}]",4.5,[],+19058933370,+1 905-893-3370,8672.64279434092,43.8607636506515,-79.63725776143552,11191 Highway 27,,,Kleinburg,L0J 1C0,CA,ON,"['11191 Highway 27', 'Kleinburg, ON L0J 1C0', 'Canada']",
11,iasUjK6m5knZZDSlNIRQSQ,bellvue-manor-vaughan,Bellvue Manor,https://s3-media4.fl.yelpcdn.com/bphoto/moHXrwUWT4fHouKbrhqUYg/o.jpg,False,https://www.yelp.com/biz/bellvue-manor-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,9,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'catering', 'title': 'Caterers'}]",3.5,[],+19057617288,+1 905-761-7288,7210.760023855591,43.80275,-79.5250499,8083 Jane Street,,,Vaughan,L4K 2M7,CA,ON,"['8083 Jane Street', 'Vaughan, ON L4K 2M7', 'Canada']",
12,w-N_m3UYObBXXGXgZTvmTg,kreative-treasures-toronto,Kreative Treasures,https://s3-media3.fl.yelpcdn.com/bphoto/rRhPzpzqp56M8OlNQQYU6w/o.jpg,False,https://www.yelp.com/biz/kreative-treasures-toronto?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,1,"[{'alias': 'eventplanning', 'title': 'Party & Event Planning'}, {'alias': 'wedding_planning', 'title': 'Wedding Planning'}]",5.0,[],+18886901873,+1 888-690-1873,9538.413727933952,43.77744,-79.49358,4801 Keele Street,Unit 20,,Toronto,M3J 3A4,CA,ON,"['4801 Keele Street', 'Unit 20', 'Toronto, ON M3J 3A4', 'Canada']",
13,2tR9tzJd_D1QCaNUVj977A,the-play-cube-woodbridge-2,The Play Cube,https://s3-media2.fl.yelpcdn.com/bphoto/NR9i8rA-aA281ptqbh0nkA/o.jpg,False,https://www.yelp.com/biz/the-play-cube-woodbridge-2?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,3,"[{'alias': 'playgrounds', 'title': 'Playgrounds'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",2.5,[],+19058510110,+1 905-851-0110,1266.9663148737586,43.7779540859517,-79.624172296434,8000 Highway 27,Unit 8,,Woodbridge,L4H 0A8,CA,ON,"['8000 Highway 27', 'Unit 8', 'Woodbridge, ON L4H 0A8', 'Canada']",
14,QVEAPGKZ0OrmxrHHOAK_3w,finicia-modern-lebanese-kitchen-vaughan,Finicia Modern Lebanese Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/zv8NpvgwTjWuJK0aCLN6ww/o.jpg,False,https://www.yelp.com/biz/finicia-modern-lebanese-kitchen-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,3,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.5,[],+19056259966,+1 905-625-9966,1237.359338435751,43.7783085946025,-79.6240835846525,8000 Highway 27,,,Vaughan,L4H 0A8,CA,ON,"['8000 Highway 27', 'Vaughan, ON L4H 0A8', 'Canada']",
15,Jwbt-m75VXM_pZMpVJRMmA,grand-empire-banquet-and-convention-centre-centre-brampton-2,Grand Empire Banquet & Convention Centre Centre,https://s3-media2.fl.yelpcdn.com/bphoto/MrvlIJxHBa3Gy7IoapAIbA/o.jpg,False,https://www.yelp.com/biz/grand-empire-banquet-and-convention-centre-centre-brampton-2?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,10,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.0,[],+19057944441,+1 905-794-4441,3988.7845663769644,43.7726822,-79.6592407,100 Nexus Avenue,,,Brampton,L6P 2K9,CA,ON,"['100 Nexus Avenue', 'Brampton, ON L6P 2K9', 'Canada']",
16,0oXATsxjB34yO0fyaj5RMQ,coach-house-outdoor-wedding-chapel-mississauga,Coach House Weddings,https://s3-media3.fl.yelpcdn.com/bphoto/6Lve0P4tr40kPB0Ens5BcA/o.jpg,False,https://www.yelp.com/biz/coach-house-outdoor-wedding-chapel-mississauga?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,4,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'wedding_planning', 'title': 'Wedding Planning'}, {'alias': 'photographers', 'title': 'Photographers'}]",5.0,[],+19059900555,+1 905-990-0555,22753.178339341935,43.5813719287519,-79.5834711651856,1620 Cawthra Court,,,Mississauga,L5G 4L2,CA,ON,"['1620 Cawthra Court', 'Mississauga, ON L5G 4L2', 'Canada']",
17,M-GdhgO3Zb2RolSaR5up5A,putting-edge-vaughan,Putting Edge,https://s3-media1.fl.yelpcdn.com/bphoto/tvP12hgGFYPqX0-VXSufMg/o.jpg,False,https://www.yelp.com/biz/putting-edge-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,17,"[{'alias': 'mini_golf', 'title': 'Mini Golf'}, {'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],+19057613343,+1 905-761-3343,6416.090538439444,43.7889,-79.53209,60 Interchange Way,Unit E,,Vaughan,L4K 5C3,CA,ON,"['60 Interchange Way', 'Unit E', 'Vaughan, ON L4K 5C3', 'Canada']",
18,IRkTGseCN83g_BwDjHXaAA,splitsville-woodbridge-woodbridge,Splitsville Woodbridge,https://s3-media1.fl.yelpcdn.com/bphoto/qXLfcD5mP2Ss2IQVRFypjg/o.jpg,False,https://www.yelp.com/biz/splitsville-woodbridge-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,15,"[{'alias': 'bowling', 'title': 'Bowling'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.0,[],+19058563110,+1 905-856-3110,3725.7412282233263,43.78411,-79.56509,191 Marycroft Avenue,,,Woodbridge,L4L 5Y6,CA,ON,"['191 Marycroft Avenue', 'Woodbridge, ON L4L 5Y6', 'Canada']",
19,-Q_v5Go-c5-iuI1befLL8A,tray-arts-toronto,Tray Arts,https://s3-media4.fl.yelpcdn.com/bphoto/xpAHQPaV1w6pU9jmIGEZEw/o.jpg,False,https://www.yelp.com/biz/tray-arts-toronto?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,1,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",5.0,[],+16476873995,+1 647-687-3995,4325.862828221085,43.76005,-79.57035,181 Millwick Drive,,,Toronto,M9L 2X2,CA,ON,"['181 Millwick Drive', 'Toronto, ON M9L 2X2', 'Canada']",
